id,Order,q_id,content,answers,content_en,answers_en
4bd01006-9ec1-4703-8382-b7aa8adc9595,T25-00126,T25-00126,누구의 고민이 가장 신경쓰이나요?,"친구, 가족, 전문가 등",,
4aaf7656-25d0-45ca-b97c-154a18570520,T25-00230,T25-00230,"갈등이 생겼을 때, 가장 먼저 취하는 행동은 무엇인가요?","대화, 잠수, 솔직하게 말하기, 사과 등",,
37bdd1d2-7259-4203-8a8f-0609028173df,T25-00254,T25-00254,호감 있는 상대에게 정 떨어질 때는 ?,"무례함, 거짓말, 지저분함 등",,
97aa8352-b94e-400f-9ad1-be2e22f9ecbe,T25-00005,T25-00005,매일 일상에서 기대하는 소소한 즐거움이 있다면?,"아침 커피, 점심시간, 취미활동, 산책, 친구와 수다",,
98c56c3d-5a5c-44f3-9d0a-db4f0b6096d2,T25-00006,T25-00006,지금 당장 하고 싶은 것을 할 수 있다면?,"달콤한 낮잠, 해외여행, 쇼핑, 재테크, 데이트",,
6a863e38-2b60-4d70-9532-6c5c79a89859,T25-00007,T25-00007,갑자기 평생 걱정없이 살수 있는 동뭉이 된다면?,"나무늘보, 고양이, 강아지, 야생마, 호랑이, 판다",,
1650f743-2944-4ba4-9d7d-b601eefac8e0,T25-00008,T25-00008,당신을 행복하게 만드는 음식이 있나요?,"케이크, 치킨, 떡볶이, 한식, 짜장면, 마라탕",,
f610c779-d16d-4e9f-b0f1-596f8d28be25,T25-00010,T25-00010,집에서 가장 편안함을 느낄 때 입는 옷 스타일은?,"잠옷, 트레이닝복, 홈웨어, 레깅스, 원피스, 반바지",,
cbab388a-a923-4043-b983-20860377a60a,T25-00011,T25-00011,"먹고 싶은 거 다 먹어도 살 안 찐다면, 지금 먹고 싶은 음식은?","곱창, 치킨, 떡볶이, 튀김류, 족발,마라탕",,
0808a466-8310-4285-8244-937f26b6864d,T25-00012,T25-00012,당신의 학창시절 흑역사 썰을 하나 푼다면?,,,
738d3b0b-c358-414a-8d3f-6c4ed3395b0b,T25-00013,T25-00013,"당신이 키우는 식물이 갑자기 말을 한다면, 당신을 향한 첫마디가 뭘까요?",,,
9cbf41a4-b4cd-42ef-9292-b387c41a4aa6,T25-00015,T25-00015,최고의 숙면을 위해 당신이 하는 루틴이 있다면?,"6시전에 저녁밥, 핸드폰 거리두기, 하루애 충분한 수분섭취, 릴렉스 운동",,
3837cd1b-316b-4090-bb9a-c2e18ccfc52c,T25-00016,T25-00016,"깊은밤,당신의 잠을 깨우는 무언가가 있다면?","화장실, 야식, 집안소음, 야외소음, 악몽",,
42fa0a4b-8db5-43d7-ae8d-c06e812b42df,T25-00020,T25-00020,당신이 보는 저녁/밤의 풍경을 한 단어로 표현한다면?,"노을, 별밤",,
1b957980-27cf-4a3a-8bca-17fa0898f74d,T25-00021,T25-00021,오늘 하루끝에 소확행을 느끼게 하는 작은 루틴이 있다면?,"일기쓰기, 연인과 대화, 반신욕",,
35425a88-7211-4c4e-ace7-49c2f4da317d,T25-00023,T25-00023,당신에게 어린시절 소소한 추억을 떠오르게 만드는 특별한 장소가 있다면?,"관광지, 공원, 놀이터, 카페, 해변",,
b355d68f-c881-4efb-bdd8-d7306bd41484,T25-00024,T25-00024,최근에 실컷 웃었던 에피소드 하나를 공개 한다면?,,,
f3f28a67-9d3e-44cd-8fb7-5a248657568d,T25-00025,T25-00025,"너무 웃다가 배꼽이 빠진다면, 당신의 다음 행동은?","빠진배꼽 보고 더 웃으며 병원, 테이프로 고정하고 정색하며 병원",,
f5fa71ba-7286-4da0-9fb3-a70ce2647b52,T25-00027,T25-00027,오늘 아침에 가장 좋았던 순간을 꼽자면?,"따뜻한 커피, 쨍한 햇살",,
087620ff-31ce-4125-95f2-8cd95314a86a,T25-00028,T25-00028,"하루를 만족스럽게 만들기 위해서, 당신은 정해놓은 루틴이 있나요?",,,
651dd38f-4e9b-44e3-9625-e48ea6c1c32f,T25-00029,T25-00029,"길을 걷다 발을 헛디뎌서 넘어졌다면, 그때 드는 첫 생각은?","일단 기절한 척, 벌떡일어남, 바로 달려나감",,
00aa2a1d-a783-467c-b04b-dc847debd79d,T25-00030,T25-00030,당신이 취미를 설명할 수 있는 카테고리는?,"단순 재미, 창의적 작품, 활동적, 취미공유",,
dbb1f3e1-5bd3-4d21-a409-2e3d0a330bc1,T25-00031,T25-00031,새로운 취미를 찾을 때 가장 끌리는 것은 무엇인가요?,"단순 재미, 창의적 작품, 활동적, 취미공유",,
973ee294-3955-4ae6-808c-76fdda07c6be,T25-00032,T25-00032,당신이 집에 있을때를 행복하게 만들어주는 로봇이 생긴다면?,"게임 로봇, 요리 로봇, 청소로봇, Pet 돌봄로봇",,
9ea5e36e-a18c-4cba-b3a5-8d088051be0e,T25-00034,T25-00034,당신의 잠자는 습관을 표현하자면?,"대자로, 새우처럼, 얼굴 가리고",,
253c0fbe-79cb-4a98-af25-6bfe3181b2b7,T25-00036,T25-00036,당신은 하루 중 언제 가장 편안한 시간을 보내나요?,"새벽, 저녁",,
09133781-db9a-4af8-938f-9309b5f69767,T25-00037,T25-00037,당신의 기분을 순식간에 좋게 만드는 마법 같은 것이 있나요?,"따뜻한 햇살, 분위기에 맞는 음악",,
f5994ecf-b79f-4b35-9d58-d6e5e1033e78,T25-00038,T25-00038,"당신이 양말 한 짝을 잃어버렸다면, 당신의 해결책은?","버리고 새로사기, 찾을때 까지 뒤지기",,
3bcd3eca-cb9f-458e-916b-da9bac120eab,T25-00039,T25-00039,"당신이 지칠 때, 당신에게 가장 확실한 에너지 충전소는?","수면, 음악, 커피",,
f4f3884c-f8f3-4884-9d14-c01ab165f812,T25-00040,T25-00040,가끔 '에라 모르겠다!' 하며 저질러 버리는 것이 있다면?,"야식, 쇼핑, 고백",,
d2bba6c9-0d91-42fb-8225-aa42af9523f2,T25-00041,T25-00041,당신의 기분을 바로 '리셋'해주는 것이 있다면?,"인기예능, pet, 산책, 낮잠",,
1ff26a51-767f-46b7-b83f-3779bb4b4126,T25-00042,T25-00042,"너무 지루할 때, 당신에게 가장 생각하는 계획은?","친구에게 전화, 영화검색, 여행계획",,
c0991112-5813-4a3e-92fc-a562e3ac5fe9,T25-00045,T25-00045,주말에 당신을 위한 최고의 음식을 만든다면?,"갈비, 치킨, 떡볶이, 아구찜, 건강식, 라면",,
d331a047-7dd8-4236-9f88-cc1119a0e2c8,T25-00046,T25-00046,일년에 딱 하루 혼자만의 시간을 가질수 있다면?,"깊은잠, 폭퐁쇼핑",,
06be7dcd-95d1-4cc6-b2d6-532537b510ec,T25-00047,T25-00047,"당신의 심장을 뛰게 하는 달콤한 유혹이 있다면, 그것은?","달콤한 디저트 사진, 너무 잘생긴 배우, 넓은 풍경",,
d135c6ce-6c99-46dd-85dc-504b2a06cc79,T25-00048,T25-00048,확실한 행복을 위해 오늘 내가 도전한 것이 있다면?,,,
71df60c0-304b-4ccd-b9fe-f1fef9a3179a,T25-00019,T25-00019,"당신에겐 반려동물이 있다, 그 동물의 이름은?","반짝이, 지니, 미냥이, ",,
3155979a-28e0-4ca8-b206-99bc7ccd5504,T25-00017,T25-00017,마음의 안정을 위한 비밀 병기가 있다면?,"따뜻한 차, 명상",,
c44649ff-3e9f-478d-9c85-bcb1bdef3b3b,T25-00044,T25-00044,"일년에 딱 하루만 자유가 있다면, 지금 이순간 떠오르는것은?","낮잠, 영화보기",,
76b25a61-bc09-48d4-92aa-38b6c798e81e,T25-00043,T25-00043,당신은 스트레스를 풀기위해 해본 가장 기발하거나 웃긴 해소법이 있나요?,"고함 지르기, 노래 부르기, 막춤추기",,
4ca7737e-94d5-4f7e-a3dd-c5ddd69ce89b,T25-00049,T25-00049,"당신의 꿈에서 5만원을 줍는다면, 당신이 집중하는 것은?","5만원 주인, 돈 줍는 해몽, 사용처 고민",,
ad79a7f7-cb65-423b-805d-81051c19118a,T25-00050,T25-00050,"당신에게 예상치 못한 행운이 왔다면, 가장 먼저 누구와 나누고 싶나요?","가족, 친구",,
6aab7774-b961-48dc-9267-ad2eda339577,T25-00051,T25-00051,"당신이 지친 하루를 마치고 집에 돌아왔을 때, 당신을 가장 먼저 웃게 하는 것은 무엇인가요?","따뜻한 차 한 잔, 반려동물, 가족",,
d65397de-c59c-4689-b85c-a064e97d9df4,T25-00052,T25-00052,"만약 당신의 고민을 들어주는 비밀 요정이 있다면, 가장 먼저 이야기 하고 싶은 주제는 뭔가요?","고백상담, 친구갈등, 부모 갈등, 미래계획, 재테크",,
ccdee5be-f82e-4149-b12a-ed032d13a3e4,T25-00107,T25-00107,"당신은 지친 하루 끝에, 어떤 즐거움으로 기분 전환을 하나요?","음악 감상, 맛있는 음식",,
2d52323c-6ffc-4995-82f6-650d73e8aa67,T25-00053,T25-00053,"당신이 갑자기 슈퍼히어로가 된다면, 당신의 사랑하는사람에게 가장 해주고 싶은것은?","하늘날기, 순간이동, 해결사되기",,
9bce52f0-bb17-4f50-8c37-35489c3fa4ed,T25-00054,T25-00054,"당신이 갑자기 슈퍼히어로가 된다면, 당신의 가족에게 가장 해주고 싶은것은?","하늘날기, 순간이동, 해결사되기",,
c394e1ad-cf54-4180-a283-399600329346,T25-00001,T25-00001,당신에게 하루의 피로를 싹 날려버리는 킥이 있다면?,"낮잠, 산책, 달리기, 영화보기",,
2dd999d5-633e-433e-940e-cd4d1694ce3f,T25-00004,T25-00004,당신이 하루중에 가장 편안함을 느끼는 순간이 있다면?,"이불 속, 커피한잔, 새벅조깅, TV시청",,
a14a2242-375c-47d7-bcd1-2d42d85af20b,T25-00009,T25-00009,스트레스 받을 때 최고의 위로 음식은?,"케이크, 치킨, 떡볶이, 한식, 짜장면, 마라탕",,
ea1272d7-c9b0-4018-93ec-fc70486a9108,T25-00014,T25-00014,"오늘 당신이 한 일이 보상으로 돌아온다면, 그건?","돈, 칭찬, 수료증, 자격증, 여행, 반려자",,
849190e1-2d13-4911-a137-a9bb934a1cff,T25-00018,T25-00018,당신이 가장 좋아하는 여행의 테마는?,"모험, 크루즈, 드라이브, 호캉스, 관광지, 해외쇼핑",,
4003beab-b613-4617-b9c0-528eae81f326,T25-00022,T25-00022,"무조건 써도 되는 백만원을 갖게 된다면, 당신의 계획은?","맛집예약, 비행기티켓예약, 주식사기",,
14144594-d90d-4e3f-a4f2-eaac6f25bcf6,T25-00026,T25-00026,오랜만에 만난 친구와 함께 추억을 남기기 위해 하고 싶은것은?,"셀카 같이 찍기, 인생4컷, 자물쇠 걸기, 같이 요리 해먹기, 같이 숏츠찍기",,
83fc1db1-779c-42df-92c6-dbd92213a436,T25-00033,T25-00033,"긴 하루를 보낸 당신, 가장 큰 위로를 받는 것은 무엇인가요?","따뜻한 차, 좋아하는 음악, 가족과 수다, 친구와 수다. 애인에게 투정",,
3b4d0e63-d2f1-4a14-9976-5b1bba0a12c2,T25-00035,T25-00035,"순간 스트레스가 많아지면, 가장 먼저 찾는 공간이 있나요?","아늑한 침대, 조용한 카페, 분주한 길거리",,
dae57451-3a79-4e08-abd0-f5a6f2abfd3e,T25-00055,T25-00055,"당신이 갑자기 슈퍼히어로가 된다면, 당신의 주변 사람에게 가장 해주고 싶은것은?","하늘날기, 순간이동, 해결사되기",,
8862a9c9-4bde-423a-8d1c-1126402d7982,T25-00056,T25-00056,오늘 하루 속에서 예상치 못한 작은 행복을 하나 정한다면?,,,
04e06e52-51e7-4c4d-a1ba-6fdfd38fe2d5,T25-00060,T25-00060,혼밥할 때 생기는 초능력이 있다면 무엇인가요?,"음식 순삭 능력, 설거지 자동 소멸",,
95f079ee-a41e-4220-a78a-5bba4b9284f0,T25-00066,T25-00066,요리를 했는데 너무 많이 남은 재료를 즉시 처리해야 한다면?,"새로운 요리, 쓰레기통, 주변과 나누기",,
79375ac7-5721-4935-ac45-9b2e5d0cfe39,T25-00067,T25-00067,"무조건 모든 재료가 준비된다면, 가장 해 보고 싶은 요리는?","스테이크, 파스타,케밥",,
50df8c54-347d-4c37-8c10-e1760ee860ec,T25-00057,T25-00057,"당신이 무언가를 직접 만들어서 성취감을 느낀다면, 가장 먼저 나누고 싶은 사람은 누구인가요?","가족, 친구",,
e1c79568-52e4-4298-9f23-5bda04e70016,T25-00058,T25-00058,"당신이 잠에서 깨어보니 갑자기 투명인간이 되었다면, 가장 먼저 찾아갈 곳은 어딘가요?","냉장고, 놀이공원",,
4bf9bd57-e7fd-4d68-9132-5b9987ceeaae,T25-00059,T25-00059,"혼밥을 할 때, 당신이 가장 중요하게 생각하는 것은 무엇인가요?","편안함, 자유로움, 미슐랭",,
3c5590c1-ac8a-4edf-9e37-ccbb3466b5f6,T25-00061,T25-00061,당신이 가장 즐겨 만드는 나만의 간편 요리는 무엇인가요?,"라면, 계란볶음밥, 김치찌게",,
c84ce112-11bc-41aa-a4c3-631744d0148f,T25-00062,T25-00062,당신에게 에너지원이 되는 것은 무엇일까요?,"휴식, 활동",,
77a0e6b8-d895-490e-8460-506a485d58f3,T25-00063,T25-00063,"토요일 아침, 당신의 기분을 행복하게 만들어주는 것은?","이불 속, 여유로운 아침밥",,
5bfd5564-32a0-4667-b3bf-94907264a483,T25-00064,T25-00064,당신은 익숙한 취미를 더 깊게 파고드는 것 아니면 전혀 새로운 분야를 탐험하는 것 중 어떤 것이 더 매력적인가요?,"새로운 것, 익숙함",,
4adf487d-9ded-4ae3-b8e3-a6fd2a6fb28a,T25-00065,T25-00065,"오늘 집밥과 배달 중 하나를 선택해야 한다면, 그 선택의 기준은 무엇인가요?","음식맛, 편리함",,
41205fda-e95f-46cb-b956-65e1f0fa5472,T25-00068,T25-00068,"업무 스트레스가 쌓일 때, 당신은 가장 먼저 찾는 당신만의 활력소는 무엇인가요?","운동, 휴식",,
ad567c5e-7905-411e-a154-2c4010090b11,T25-00078,T25-00078,"주말에 캠핑을 갈지 말지, 당신의 선택은?","이불 속, 캠핑",,
