CodeName,Order,q_id,content,choice_a,choice_b,content_en,choice_a_en,choice_b_en
*-*-*-*-*,*-*-*-00001,B26-00001,"힘든 일이 있어 고민 상담을 할 때, 내가 더 원하는 방식은?",뼈 때리는 팩폭,따뜻한 위로,"When I need advice, what do I prefer?",Harsh truth,Warm comfort
*-*-*-*-*,*-*-*-00002,B26-00002,"지친 한 주를 보내고 맞이한 주말, 나에게 진정한 충전은?",집콕 힐링,밖에서 놀기,"After a tiring week, what truly recharges me on the weekend?",Home relaxation,Going out
*-*-*-*-*,*-*-*-00003,B26-00003,친구가 정말 난해하고 이상한 패션을 하고 왔을 때 나의 반응은?,솔직히 말하기,그냥 넘어감,A friend wears a really weird outfit. My reaction?,Honest feedback,Ignore it
*-*-*-*-*,*-*-*-00004,B26-00004,"중요한 결정을 내려야 할 때, 내가 더 신뢰하는 판단 기준은?",데이터 분석파,직감 승부파,"When making important decisions, what do I trust more?",Data analysis,Gut feeling
*-*-*-*-*,*-*-*-00005,B26-00005,내가 진정으로 추구하는 이상적인 인간관계의 모습은?,좁고 깊은 소수,넓고 얕은 인싸,What's my ideal relationship style?,"Small, deep circle","Large, casual network"
*-*-*-*-*,*-*-*-00006,B26-00006,"새로운 진로를 선택해야 할 때, 나에게 더 중요한 기준은?",고통 동반 급성장,맘 편한 안정감,"When choosing a new career path, what matters more?",Painful growth,Easy stability
*-*-*-*-*,*-*-*-00007,B26-00007,연애를 할 때 나에게 더 중요하고 필요한 감정은?,불타는 설렘,편안한 안정감,"In a relationship, what feeling is more important to me?",Excitement,Comfort
*-*-*-*-*,*-*-*-00008,B26-00008,"결정적인 순간, 나를 움직이는 것은?",냉철한 이성,가슴 뛰는 직관,"In a crucial moment, what moves me?",Logic,Intuition
*-*-*-*-*,*-*-*-00009,B26-00009,사람 많은 길에서 꽈당! 넘어졌을 때 나의 대처법은?,쪽팔림 참고 벌떡,아파하며 누워있기,I trip and fall in a crowded place! What do I do?,Get up fast,Lie there in pain
*-*-*-*-*,*-*-*-00010,B26-00010,내가 생각하는 진정으로 만족스러운 인생의 방향은?,하고픈 거 다 하기,미래 위해 지금 참기,What's a truly satisfying life to me?,Do everything,Sacrifice now
*-*-*-*-*,*-*-*-00011,B26-00011,둘 중 나에게 더 큰 스트레스를 주는 상황은?,나 때문에 민폐,남 때문에 피해,Which situation stresses me out more?,Inconveniencing others,Being inconvenienced
*-*-*-*-*,*-*-*-00012,B26-00012,나의 삶을 이끌어가는 주된 원동력은?,평온한 일상,짜릿한 도전,What's my main driving force in life?,Peaceful routine,Thrilling challenge
*-*-*-*-*,*-*-*-00013,B26-00013,솔로인 내가 휴가를 가장 완벽하게 보내는 방법은?,방구석 넷플릭스,친구들과 파티,"As a single person, how do I spend the perfect vacation?",Netflix binge,Party with friends
*-*-*-*-*,*-*-*-00014,B26-00014,"갑자기 큰돈이 생겼을 때, 가장 먼저 하고 싶은 일은?",명품관 싹쓸이,해외여행 티켓팅,"If I suddenly got a lot of money, what's the first thing I'd do?",Luxury shopping spree,Book a trip
*-*-*-*-*,*-*-*-00015,B26-00015,"스트레스가 쌓였을 때, 나만의 확실한 해소법은?",혼자만의 시간,친구들과 수다,What's my go-to stress reliever?,Solo time,Chat with friends
*-*-*-*-*,*-*-*-00016,B26-00016,SNS에서 나를 불편하게 만드는 게시물을 봤을 때는?,조용히 차단,댓글로 참교육,See something annoying on social media?,Silent block,Comment takedown
*-*-*-*-*,*-*-*-00017,B26-00017,대화 중 숨 막히는 어색한 침묵이 흐를 때 나는?,아무 말 대잔치,누가 말할 때까지 존버,That awkward silence in a convo?,Word vomit,Wait it out
*-*-*-*-*,*-*-*-00018,B26-00018,공공장소에서 정말 참기 힘든 소음 빌런 유형은?,귀 씹어먹는 쩝쩝충,네버엔딩 알람충,Most annoying noise-maker in public?,Loud chewing,Endless alarms
*-*-*-*-*,*-*-*-00019,B26-00019,기대했던 해외여행에서 마주한 최악의 상황은?,매번 한국이랑 비교,현지인도 거르는 맛집,Worst travel experience?,Constant comparing,Bad local food
*-*-*-*-*,*-*-*-00020,B26-00020,"갈등 상황이 발생했을 때, 내가 선호하는 해결 방식은?",돌직구 해결,빙빙 돌려 말하기,Preferred conflict resolution?,Direct approach,Beat around bush
*-*-*-*-*,*-*-*-00021,B26-00021,사람들 많은 곳에서 저지른 더 끔찍한 실수는?,천둥번개 방귀,공룡급 트림,More mortifying public mistake?,Loud fart,Dino-burp
*-*-*-*-*,*-*-*-00022,B26-00022,"스트레스가 폭발하기 직전, 나에게 더 필요한 것은?",익명판에 하소연,집에서 허공에 욕설,"About to explode from stress, need?",Vent anonymously,Yell at home
*-*-*-*-*,*-*-*-00023,B26-00023,내가 꿈꾸는 더 완벽한 인생의 모습은?,하고 싶은 일 하기,하기 싫은 일 안 하기,Dream life?,Do what I want,Avoid dislikes
*-*-*-*-*,*-*-*-00024,B26-00024,내가 삶의 만족감을 얻는 더 확실한 방법은?,신상 풀세트 장착,폰 끄고 여행 가기,Surest path to life satisfaction?,New gear,Digital detox
*-*-*-*-*,*-*-*-00025,B26-00025,중요한 선택을 앞두고 나를 더 방해하는 것은?,훈수 두는 지인들,먹통 된 와이파이,Hindrance when making big choices?,Advice from friends,Dead wifi
*-*-*-*-*,*-*-*-00026,B26-00026,생각만 해도 이불킥! 더 지워버리고 싶은 흑역사는?,전 애인 염탐하다 하트,짝사랑 고백 후 차임,Cringiest memory to erase?,Ex-stalking fail,Rejected confession
*-*-*-*-*,*-*-*-00027,B26-00027,지인들과 관계를 유지하는 나의 주된 방식은?,눈팅과 좋아요,만나서 입 털기,Main way to keep up with friends?,Lurking and likes,Hang and chat
*-*-*-*-*,*-*-*-00028,B26-00028,엘리베이터에서 애매하게 아는 이웃을 만났을 때는?,폰만 보며 외면,어색해도 스몰토크,Awkward elevator with a neighbor?,Phone avoidance,Awkward small talk
*-*-*-*-*,*-*-*-00029,B26-00029,"우연히 내 뒷담화를 들었을 때, 누가 더 나은?",절친(이유나 묻자),모르는 사람(무시),"Hear someone talking smack, who's better?",Close friend (Ask why),Stranger (Ignore)
*-*-*-*-*,*-*-*-00030,B26-00030,"로또 1등에 당첨된 순간, 가장 먼저 드는 생각은?",드디어 내 세상!,혹시 몰카 아냐?,"Win the lottery, first thought?",My time!,Hidden camera?
*-*-*-*-*,*-*-*-00031,B26-00031,다음 생에 다시 태어난다면 어떤 삶을 살고 싶은?,돈 없는 인기쟁이,돈 많은 왕따,"If you could be reborn, what kind of life would you want?","Popular, broke","Rich, loner"
*-*-*-*-*,*-*-*-00032,B26-00032,"친구가 조언을 구할 때, 내가 피드백하는 스타일은?",무한 공감과 위로,팩트 체크와 조언,"When a friend asks for advice, what's your feedback style?",Endless empathy,Fact check & advice
*-*-*-*-*,*-*-*-00033,B26-00033,신이 나에게 한 가지 능력을 준다면 뭘 고를까?,아인슈타인 두뇌,연예인급 매력,"If a god gave you one power, what would you choose?",Einstein brain,Celebrity charisma
*-*-*-*-*,*-*-*-00034,B26-00034,직장을 선택할 때 나에게 더 중요한 1순위는?,연봉 킹,워라밸 킹,"When choosing a job, what's your top priority?",Salary king,Work-life balance king
*-*-*-*-*,*-*-*-00035,B26-00035,고민에 빠진 친구를 돕는 나만의 방식은?,머리 맞대고 분석,바람 쐬러 나가기,What's your way of helping a friend in trouble?,Analyze together,Go for fresh air
