CodeName,Order,q_id,content,answers,content_en,answers_en
*-*-*-*-*,*-*-*-00001,T26-00001,하루 피로 싹 날리는 나만의 킥은?,"낮잠, 산책, 달리기, 영화",What's your go-to way to instantly kill fatigue?,"Nap, walk, run, movie"
*-*-*-*-*,*-*-*-00002,T26-00002,나만의 웃긴 춤사위나 개인기는?,"아이돌 춤, 막춤, 성대모사",Got any funny dances or hidden talents?,"Idol dance, freestyle dance, impressions"
*-*-*-*-*,*-*-*-00003,T26-00003,주말을 위한 단 하나의 소원은?,"늦잠, 맛집, 데이트, 여행","If you had one wish for the weekend, what would it be?","Sleep in, good food, date, travel"
*-*-*-*-*,*-*-*-00004,T26-00004,하루 중 가장 편안한 순간은?,"이불 속, 모닝커피, 새벽조깅, TV",What's the most relaxing moment of your day?,"In bed, morning coffee, early jog, TV"
*-*-*-*-*,*-*-*-00005,T26-00005,매일 기대하게 만드는 소소한 즐거움은?,"아침 커피, 점심시간, 취미, 수다",What small pleasure do you look forward to every day?,"Morning coffee, lunchtime, hobby, chatting"
*-*-*-*-*,*-*-*-00006,T26-00006,지금 당장 제일 하고 싶은 것은?,"낮잠, 여행, 쇼핑, 재테크",What do you wanna do RIGHT NOW?,"Nap, travel, shopping, investing"
*-*-*-*-*,*-*-*-00007,T26-00007,평생 걱정 없이 살 수 있는 동물은?,"나무늘보, 고양이, 댕댕이, 호랑이","If you could be an animal without any worries, which one?","Sloth, cat, dog, tiger"
*-*-*-*-*,*-*-*-00008,T26-00008,나를 행복하게 만드는 음식은?,"케이크, 치킨, 떡볶이, 한식",What's a food that just makes you happy?,"Cake, chicken, tteokbokki, Korean food"
*-*-*-*-*,*-*-*-00009,T26-00009,스트레스 받을 때 생각나는 위로 푸드는?,"케이크, 치킨, 떡볶이, 마라탕",What's your go-to comfort food when stressed?,"Cake, chicken, tteokbokki, mala"
*-*-*-*-*,*-*-*-00010,T26-00010,집에서 매일 입는 최애 편안 룩은?,"잠옷, 츄리닝, 수면바지, 원피스",What's your favorite comfy outfit to wear at home?,"Pajamas, sweats, fuzzy pants, dress"
*-*-*-*-*,*-*-*-00011,T26-00011,살 안 찐다면 지금 제일 먹고픈 것은?,"곱창, 치킨, 떡볶이, 튀김","If calories didn't exist, what would you eat right now?","Gopchang, chicken, tteokbokki, fried foods"
*-*-*-*-*,*-*-*-00012,T26-00012,학창 시절 나의 이불킥 흑역사는?,"짝사랑 고백, 장기자랑, 졸업사진",Got any embarrassing high school memories that make you cringe?,"Confessing a crush, talent show, graduation photo"
*-*-*-*-*,*-*-*-00013,T26-00013,만약 반려식물이 말을 건다면 첫마디는?,"물 줘, 햇빛 좀, 나 좀 봐","If your plant could talk, what's the first thing it would say?","Water me, sunshine please, look at me"
*-*-*-*-*,*-*-*-00014,T26-00014,오늘 하루 고생한 나에게 주는 보상은?,"현금, 칭찬, 여행권, 휴식",How would you reward yourself for getting through today?,"Cash, praise, vacation voucher, rest"
*-*-*-*-*,*-*-*-00015,T26-00015,꿀잠 보장하는 나만의 잠자리 루틴은?,"일찍 저녁, 폰 끄기, 물 마시기",What's your bedtime routine for amazing sleep?,"Early dinner, turn off phone, drink water"
*-*-*-*-*,*-*-*-00016,T26-00016,새벽에 나를 깨우는 범인은?,"화장실, 배달주문, 층간소음, 악몽",What's the culprit that wakes me up in the middle of the night?,"Bathroom, delivery order, noise from upstairs, nightmare"
